FECHA,PM 10,O3,NO2,CO,SO2,MAXIMO,CONTAMINANTE,EST.,ZONA,,,,
01/01/2014,125,50,32,39,7,125,PM10,SC,NORTE,,,,
02/01/2014,72,46,35,22,9,72,PM10,SC,NORTE,,,,
03/01/2014,57,50,33,20,6,57,PM10,SC,NORTE,,,,
04/01/2014,104,67,36,25,9,104,PM10,SC,NORTE,,,,
05/01/2014,95,74,35,27,8,95,PM10,SC,NORTE,,,,
06/01/2014,103,53,34,24,9,103,PM10,SC,NORTE,,,,
07/01/2014,75,41,34,21,11,75,PM10,SC,NORTE,,,,
08/01/2014,121,50,39,24,20,121,PM10,SC,NORTE,,,,
09/01/2014,121,45,47,32,19,121,PM10,SC,NORTE,,,,
10/01/2014,127,40,50,31,13,127,PM10,SC,NORTE,,,,
11/01/2014,86,55,38,36,12,86,PM10,SC,NORTE,,,,
12/01/2014,92,44,34,25,7,92,PM10,SC,NORTE,,,,
13/01/2014,73,51,37,31,15,73,PM10,SC,NORTE,,,,
14/01/2014,93,45,37,26,17,93,PM10,SC,NORTE,,,,
15/01/2014,53,52,37,20,10,53,PM10,SC,NORTE,,,,
16/01/2014,87,55,44,23,16,87,PM10,CE,CENTRO,,,,
17/01/2014,81,65,42,32,14,81,PM10,SM,SUR,,,,
18/01/2014,83,75,46,25,16,83,PM10,AP,NORTE,,,,
19/01/2014,87,98,46,24,12,98,O3,OX,CENTRO,,,,
20/01/2014,86,49,46,28,13,86,PM10,AP,NORTE,,,,
21/01/2014,117,64,39,29,13,117,PM10,SC,NORTE,,,,
22/01/2014,112,69,46,32,14,112,PM10,SC,NORTE,,,,
23/01/2014,123,77,44,23,15,123,PM10,SC,NORTE,,,,
24/01/2014,114,91,38,30,12,114,PM10,SC,NORTE,,,,
25/01/2014,106,75,54,21,8,106,PM10,SC,NORTE,,,,
26/01/2014,82,70,38,22,9,82,PM10,SC,NORTE,,,,
27/01/2014,103,79,59,26,14,103,PM10,SC,NORTE,,,,
28/01/2014,101,58,44,24,17,101,PM10,SM,SUR,,,,
29/01/2014,105,60,35,25,13,105,PM10,SC,NORTE,,,,
30/01/2014,113,65,46,24,14,113,PM10,SC,NORTE,,,,
31/01/2014,106,68,42,26,15,106,PM10,SC,NORTE,,,,
