fec_dec,metepec,Almoloya de Juárez,lerma,otzolotepec,san mateo atenco,temoaya,tenango del valle ,Toluca,xonacatlan,zinacantepec,PM 10,O3,NO2,CO,SO2,MAXIMO,
ene-14,5,4,2,1,0,1,0,22,4,2,97,61,41,26,12,97,
feb-14,5,2,2,1,1,3,1,14,0,7,110,80,38,25,13,110,
mar-14,2,0,1,0,1,1,1,7,1,4,103,63,31,20,14,103,
abr-14,3,3,3,0,0,1,0,10,0,3,81,74,30,21,14,86,
may-14,3,0,2,2,1,1,0,8,1,4,62,69,31,19,9,73,
jun-14,1,1,4,2,2,2,1,6,2,3,46,60,22,17,10,60,
jul-14,2,2,3,1,1,1,0,10,0,4,46,59,27,17,10,60,
ago-14,4,2,5,1,1,0,0,12,1,3,48,57,27,16,11,58,
sep-14,1,5,3,0,0,1,0,10,1,1,44,46,24,19,11,50,
oct-14,8,1,3,1,2,0,1,12,0,3,71,49,27,22,10,72,
nov-14,4,2,0,3,0,2,1,11,0,1,95,36,29,22,8,95,
dic-14,3,4,3,0,3,2,1,13,3,3,109,44,38,24,8,109,
ene-15,7,5,1,1,3,2,0,22,0,2,111,46,36,26,9,111,
feb-15,7,2,2,1,0,1,4,13,1,6,102,49,35,23,10,102,
mar-15,3,3,0,2,2,0,4,11,3,3,87,51,28,24,8,87,
abr-15,5,3,3,1,0,0,1,18,3,3,105,74,34,29,7,107,
may-15,1,1,1,2,0,1,0,17,2,3,83,49,40,26,7,83,
jun-15,4,4,1,0,2,2,3,13,0,4,79,52,31,23,8,80,
jul-15,3,3,1,0,1,1,0,16,0,3,79,57,32,20,9,82,
ago-15,6,1,2,0,2,0,3,8,1,2,74,84,49,32,17,86,
sep-15,2,0,0,1,1,1,0,16,0,1,84,83,45,28,15,91,
oct-15,4,2,0,2,1,1,0,7,1,3,78,86,43,38,16,88,
nov-15,5,3,0,0,0,3,1,11,3,1,94,99,44,38,17,101,
dic-15,3,0,3,1,1,3,2,20,0,2,110,123,38,41,22,123,
ene-16,6,3,5,0,2,2,1,32,2,7,119,132,42,41,24,133,
feb-16,13,2,5,0,0,3,4,26,0,1,118,123,67,44,23,123,
mar-16,6,6,6,5,4,1,1,12,2,4,102,98,52,38,21,104,
abr-16,3,2,2,0,1,0,0,16,1,4,111,109,69,44,21,114,
may-16,4,1,1,0,2,0,1,21,0,2,100,115,88,37,19,115,
jun-16,2,1,0,0,3,0,2,10,1,2,70,92,54,27,13,92,
jul-16,4,8,1,3,2,1,0,11,1,2,77,85,50,21,13,87,
ago-16,6,4,0,1,1,1,0,11,0,2,67,88,57,24,15,88,
sep-16,4,2,2,1,2,1,2,13,1,1,69,87,53,20,12,88,
oct-16,3,1,4,1,0,1,0,12,1,3,77,90,49,22,15,90,
nov-16,4,4,1,0,1,1,4,21,0,1,97,107,47,26,17,108,
dic-16,2,2,2,1,1,3,1,14,0,2,116,117,45,28,20,120,
ene-17,5,3,2,3,3,1,0,13,2,2,123,122,57,33,22,126,
feb-17,8,6,1,1,0,2,3,12,0,4,121,118,64,31,21,124,
mar-17,9,2,5,0,0,3,1,23,3,4,107,106,61,30,14,111,
abr-17,5,5,3,0,1,4,1,17,0,5,109,109,77,32,14,112,
may-17,5,3,2,0,1,2,1,14,1,5,103,117,85,27,14,118,
jun-17,3,0,0,0,2,2,3,10,0,6,83,93,66,21,11,94,
jul-17,3,3,2,1,1,2,2,15,0,0,67,87,50,25,13,88,
ago-17,3,2,0,0,0,2,0,9,0,3,68,85,57,25,12,87,
sep-17,1,0,1,2,0,1,0,13,1,4,67,79,44,29,13,81,
oct-17,1,1,4,2,1,1,0,14,2,4,84,90,50,26,13,92,
nov-17,1,1,2,4,2,1,1,19,3,4,111,110,65,43,16,113,
dic-17,4,2,1,4,1,2,1,13,4,6,132,139,78,36,20,141,
ene-18,2,3,1,4,1,4,0,32,1,4,126,129,62,34,18,133,
feb-18,9,5,5,4,1,3,3,21,1,4,114,110,76,28,17,115,
mar-18,3,1,4,0,2,2,1,15,1,1,114,111,83,31,14,116,
abr-18,3,4,4,1,0,4,1,10,0,2,109,110,64,28,14,112,
may-18,5,3,1,2,2,2,1,15,1,5,98,99,59,39,12,104,
jun-18,4,1,1,1,2,4,2,11,0,3,98,99,59,39,12,104,
jul-18,5,1,1,0,1,2,1,14,1,1,88,90,54,20,11,96,
ago-18,1,5,1,0,2,1,2,17,1,7,55,72,46,21,13,73,
sep-18,2,2,1,0,2,3,3,14,1,2,68,76,47,21,13,77,
oct-18,5,4,2,2,0,0,1,17,1,5,85,75,41,17,13,88,
nov-18,2,3,2,1,2,4,1,20,0,5,116,95,45,24,17,117,
dic-18,4,4,4,0,1,4,2,21,1,7,129,116,58,26,19,131,
